Message,Time,UserID,ChannelID
Hello everyone!,2024-11-23 09:00:00,1,1
Welcome to the channel!,2024-11-23 09:15:00,2,1
Important announcement: Team meeting tomorrow,2024-11-23 09:30:00,3,2
Need help with login issues,2024-11-23 09:45:00,4,3
New feature deployment status,2024-11-23 10:00:00,5,4
Check out this cool article,2024-11-23 10:15:00,6,5
Monthly updates posted,2024-11-23 10:30:00,7,6
Great suggestion for improvement,2024-11-23 10:45:00,8,7
User 8 message in channel 2, 2024-11-10 10:20:00, 8, 2
User 8 messag 2 in channel 2, 2024-11-10 10:21:00, 8, 2
User 8 message in chasel 1, 2024-11-10 10:20:00, 8, 1